state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population,
Maine,3/24/2021,3/25/2021,30_39,,,26224,,
Maine,3/24/2021,3/25/2021,40_49,,,28350,,
Maine,3/24/2021,3/25/2021,50_59,,,40530,,
Maine,3/24/2021,3/25/2021,60_69,,,118598,,
Maine,3/24/2021,3/25/2021,70_79,,,102299,,
Maine,3/24/2021,3/25/2021,80_100,,,50466,,
Maryland,3/25/2021,3/26/2021,0_9,,,0,,
Maryland,3/25/2021,3/26/2021,10_19,,,15591,,
Maryland,3/25/2021,3/26/2021,20_29,,,135206,,
Maryland,3/25/2021,3/26/2021,30_39,,,198838,,
Maryland,3/25/2021,3/26/2021,40_49,,,208493,,
Maryland,3/25/2021,3/26/2021,50_59,,,251320,,
Maryland,3/25/2021,3/26/2021,60_69,,,353384,,
Maryland,3/25/2021,3/26/2021,70_79,,,303046,,
Maryland,3/25/2021,3/26/2021,80_100,,,157765,,
Massachusetts,3/25/2021,3/26/2021,0_19,1.00%,,16900,1588300,
Massachusetts,3/25/2021,3/26/2021,20_29,9.00%,,173600,1026800,
Massachusetts,3/25/2021,3/26/2021,30_49,23.00%,,455500,1756000,
Massachusetts,3/25/2021,3/26/2021,50_64,25.00%,,494800,1417200,
Massachusetts,3/25/2021,3/26/2021,65_74,24.00%,,482400,682800,
Massachusetts,3/25/2021,3/26/2021,75_100,20.00%,,395600,493300,
Michigan,3/24/2021,3/26/2021,16_19,,3.00%,15963,,
Michigan,3/24/2021,3/26/2021,20_29,,10.50%,149202,,
Michigan,3/24/2021,3/26/2021,30_39,,16.70%,204938,,
Michigan,3/24/2021,3/26/2021,40_49,,19.40%,230301,,
Michigan,3/24/2021,3/26/2021,50_64,,35.20%,722660,,
Michigan,3/24/2021,3/26/2021,65_74,,64.50%,671389,,
Michigan,3/24/2021,3/26/2021,75_100,,65.10%,475002,,
Minnesota,3/25/2021,3/26/2021,16_17,,,3321,,
Minnesota,3/25/2021,3/26/2021,18_49,,,448278,,
Minnesota,3/25/2021,3/26/2021,50_64,,,341495,,
Minnesota,3/25/2021,3/26/2021,65_100,,,382007,,
Mississippi,3/24/2021,3/26/2021,16_24,,,22571,,
Mississippi,3/24/2021,3/26/2021,25_39,,,37688,,
Mississippi,3/24/2021,3/26/2021,40_49,,,80233,,
Mississippi,3/24/2021,3/26/2021,50_64,,,208954,,
Mississippi,3/24/2021,3/26/2021,65_74,,,176007,,
Mississippi,3/24/2021,3/26/2021,75_100,,,122795,,
Missouri,3/25/2021,3/26/2021,15_24,,7.00%,,,
Missouri,3/25/2021,3/26/2021,25_34,,15.90%,,,
Missouri,3/25/2021,3/26/2021,35_44,,21.20%,,,
Missouri,3/25/2021,3/26/2021,45_54,,23.40%,,,
Missouri,3/25/2021,3/26/2021,55_64,,32.20%,,,
Missouri,3/25/2021,3/26/2021,65_74,,61.90%,,,
Missouri,3/25/2021,3/26/2021,75_84,,66.40%,,,
Missouri,3/25/2021,3/26/2021,85_100,,61.10%,,,
Montana,,,,,,,,
Nebraska,3/25/2021,3/26/2021,16_19,,,3606,,
Nebraska,3/25/2021,3/26/2021,20_34,,,72512,,
Nebraska,3/25/2021,3/26/2021,35_44,,,61237,,
Nebraska,3/25/2021,3/26/2021,45_54,,,59230,,
Nebraska,3/25/2021,3/26/2021,55_64,,,84868,,
Nebraska,3/25/2021,3/26/2021,65_74,,,127369,,
Nebraska,3/25/2021,3/26/2021,75_84,,,71260,,
Nebraska,3/25/2021,3/26/2021,85_100,,,35158,,
Nevada,3/23/2021,3/26/2021,0_9,0.00%,,,389978,
Nevada,3/23/2021,3/26/2021,10_19,0.80%,,,429790,
Nevada,3/23/2021,3/26/2021,20_29,8.10%,,,437588,
Nevada,3/23/2021,3/26/2021,30_39,11.40%,,,423831,
Nevada,3/23/2021,3/26/2021,40_49,12.60%,,,414074,
Nevada,3/23/2021,3/26/2021,50_59,14.20%,,,398817,
Nevada,3/23/2021,3/26/2021,60_69,18.90%,,,345779,
Nevada,3/23/2021,3/26/2021,70_100,34.00%,,,309377,
New Hampshire,,,,,,,,
New Jersey,,3/26/2021,16_17,0.00%,,,,
New Jersey,,3/26/2021,18_29,8.00%,,,,
New Jersey,,3/26/2021,30_49,24.00%,,,,
New Jersey,,3/26/2021,50_64,28.00%,,,,
New Jersey,,3/26/2021,65_79,30.00%,,,,
